Index,0,1,2,3,4,5
dose 74 mean,4.7202,2.2334,2.5354,7.0152,4.8789,10.2997
dose 75 mean,4.8393,2.1964,2.6722,7.437,4.949,9.7948
dose 76 mean,4.4699,2.4098,2.6033,7.342,4.5272,9.9733
dose 77 mean,4.7203,1.8143,2.4597,6.7855,4.7591,10.8009
dose 78 mean,4.6984,2.3483,2.6255,7.2044,5.0484,9.5646
dose 79 mean,4.6963,2.3299,2.594,7.7269,4.9026,9.7969
dose 80 mean,4.7674,1.8022,2.5862,6.7498,4.5092,10.6477
dose 81 mean,4.7468,2.2473,2.6592,7.0091,4.9883,9.8303
dose 82 mean,4.6835,2.6037,2.6465,7.4767,4.9434,10.1595
dose 83 mean,4.5506,2.5871,2.5774,7.0072,4.6801,10.305
dose 84 mean,4.6323,2.0877,2.671,6.9097,4.8266,10.0908
dose 85 mean,4.7584,2.2331,2.5641,7.6315,4.713,9.8209
dose 86 mean,4.5816,2.1471,2.5558,6.8415,4.9732,10.1057
dose 87 mean,4.6533,2.3075,2.5736,7.2503,4.858,9.9948
dose 88 mean,4.6789,2.4034,2.6834,7.0688,4.9272,9.9761
dose 89 mean,4.7602,2.0041,2.5909,7.2708,4.8087,10.4106
